Header,Mode,Band Ncoeff1,Band NCoeff2,Band NCoeff3,Band NCoeff4,Band NCoeff5,Band NCoeff6,Band NCoeff7,Band NCoeff8,Band NCoeff9,Band NCoeff10,Band NCoeff11,Band NCoeff12,Band NCoeff13,Band NCoeff14,Band NCoeff15,Band NCoeff16,Band NCoeff17,Band NCoeff18,Band NCoeff19,Band NCoeff20,Band NCoeff21,Band NCoeff22,Band NCoeff23,Band NCoeff24,Band MCoeff1,Band MCoeff2,Band MCoeff3,Band MCoeff4,Band MCoeff5,Band MCoeff6,Band MCoeff7,Band MCoeff8,Band MCoeff9,Band MCoeff10,Band MCoeff11,Band MCoeff12,Band MCoeff13,Band MCoeff14,Band MCoeff15,Band MCoeff16,SF1,SF2,SF3,SF4,CS1,CS2,CS3,CS4,enable,Number of Band
A0,IIR_8K_Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,4
A1,IIR_8K_FullDuplex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,4
A2,IIR_11_025K_Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,4
A3,IIR_11_025K_FullDuplex,4000,0,dad4,f367,f40d,286c,38d5,269,0a5a,80,1f1a,e397,38d5,269,4992,f160,1fa6,2612,4000,0,a2d6,680b,2b2a,a8dd,bf46,04a6,ed3,5286,a77,c466,2117,f57d,51a6,3.00E+96,2222,6d3c,a2cb,31f6,2c2d,4216,2,2,2,2,0,0,0,0,0,4
A4,IIR_12K_Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,4
A5,IIR_12K_FullDuplex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,4
A6,IIR_16K_Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,4
A7,IIR_16K_FullDuplex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,4
A8,IIR_22_05K_Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,4
A9,IIR_22_05K_FullDuplex,4000,0,a7d0,3984,1d36,fce4,369c,aaae,e64e,9616,26ea,a2f0,369c,aaae,cfb5,e09d,1814,9245,4000,0,7.00E+05,feea,2c55,ccc2,c131,1322,1bc8,4d21,e72c,93a6,23dc,3e4f,9d62,a5ef,27d1,4dc7,972,6a35,2d4c,32b6,2,2,2,2,0,0,0,0,0,4
A10,IIR_24K_Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,4
A11,IIR_24K_FullDuplex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,4
A12,IIR_32K_Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,4
A13,IIR_32K_FullDuplex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,4
A14,IIR_44_1K_Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,4
A15,IIR_44_1K_FullDuplex,4000,0,9d5d,6505,2b91,6905,24d6,753e,c864,4b25,1575,4492,24d6,753e,c5ef,d699,1dd9,c731,4000,0,9cfc,cab3,3a6d,451,9138,dde1,3449,49db,8d0f,663b,34b3,849d,9794,c7a8,3536,282b,9ccd,cc84,3a63,6626,2,2,2,2,0,0,0,0,0,4
A16,IIR_48K_Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,4
A17,IIR_48K_FullDuplex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,4
Header,Mode,Enable,comp_rlink_static_gain,comp_rlink_aig_flag,exp_rlink_threshold,exp_rlink_slope,comp_rlink_threshold,comp_rlink_slope,comp_RlinkAIGAttackK,comp_RlinkAIGLeakDown,comp_RlinkAIGLeakUp,comp_RlinkAIGMax,comp_RlinkAIGMin,comp_RlinkAIGReleaseK,comp_RlinkAIGSmLeakRateFast,comp_RlinkAIGSmLeakRateSlow,comp_RlinkAttackKMSW,comp_RlinkAttackKLSW,comp_RlinkDelay,comp_RlinkReleaseKMSW,comp_RlinkReleaseKLSW,comp_RlinkRmsTav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0,AGC_8K,0,2000,0,2000,FF9A,2880,F333,ffee,7f69,8097,2000,2000,fff9,20,4,F38A,D708,30,FFFC,BB10,01ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,AGC_11_025K,0,2000,0,2000,FF9A,2880,F333,ffee,7f69,8097,2000,2000,fff9,20,4,F38A,d1b1,30,FFFC,fff3,01ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2,AGC_12K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,AGC_16K,0,2000,0,2000,FF9A,2880,F333,fff7,7f69,8097,2000,2000,fffc,20,4,DF1C,E00B,30,FFF6,FD4B,00F6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
