HEADER,Speedy_HTC_20100821,
Default,1401,1501  
Default Car-kit,1601,1701
Motorola H690,1402,1502
Motorola H790,1403,1503
Motorola H720,1404,1504
245Plantronics,1405,1505
390Plantronics,1406,1506
9xxPlantronics,1407,1507
PROPlantronics,1408,1508
HM1000,1409,1509
Jabra STONE,1410,1510
VBT3050,1411,1511
Jawbone,1412,1512
9xxBackBeat,1413,1513
iMT525,1414,1514
Jabra CLIPPER,1415,1515
Jabra SP700,1416,1516
Jabra Halo,1417,1517
Motorola S9,1418,1518
Motorola HT820,1419,1519
590Plantronics,1420,1520
LG HBM-800,1421,1521
Motorola HX1,1422,1522
Motorola T325,1602,1702
END,,
